V1,V2,V3,V4,V5,V6,V7,V8,V9,N,Clicks
6,3,1,2,5,1,1,2,2,10000,54
4,1,1,2,5,3,1,2,2,10000,291
5,3,1,1,1,3,1,3,2,10000,50
4,6,1,2,1,3,2,3,2,10000,407
5,6,1,1,1,1,2,4,2,10000,860
4,3,1,3,1,3,2,4,2,10000,594
6,1,1,1,1,1,1,5,2,10000,273
5,1,1,3,5,1,2,5,2,10000,777
4,6,1,3,1,3,1,2,4,10000,153
6,6,1,2,1,1,2,2,4,10000,335
5,3,1,3,5,1,2,2,4,10000,127
4,3,1,1,5,1,1,3,4,10000,309
4,1,1,3,1,1,2,3,4,10000,275
6,1,1,2,5,3,2,3,4,10000,543
5,1,1,2,1,1,1,4,4,10000,269
6,3,1,1,5,3,2,5,4,10000,281
5,1,1,1,1,3,2,2,6,10000,298
6,3,1,3,1,1,1,3,6,10000,18
6,6,1,3,5,3,1,4,6,10000,213
4,6,1,1,5,1,2,4,6,10000,821
5,6,1,2,5,3,1,5,6,10000,297
5,3,1,2,1,1,2,5,6,10000,97